Sample	percent_dedup	seq_len_bp	percent_duplicates	total_sequences	sequence_length	percent_gc	avg_sequence_length	seq_len_read_count
SRR8668755	34.106002817547854	6697321719.0	65.89399718245215	89921353.0	35-75	50.0	74.47977032774406	89921353.0
SRR8668755_1M_subsample	65.01812605728297	74479287.0	34.98187394271703	1000000.0	35-75	50.0	74.479287	1000000.0
SRR8668756	40.94361703801776	6274730958.0	59.05638296198224	84483855.0	35-75	48.0	74.27136176491946	84483855.0
SRR8668757	43.72828710379808	7083641307.0	56.27171289620192	95110159.0	35-75	47.0	74.47828267220119	95110159.0
SRR8668758	51.26279173941845	2193822691.0	48.73720826058155	30161579.0	35-75	49.0	72.73567113313266	30161579.0
SRR8668759	49.17205703433164	386907889.0	50.82794296566836	5323802.0	35-75	57.0	72.67510869111962	5323802.0
SRR8668769	28.282918773072836	7021663108.0	71.71708122692716	94251532.0	35-75	53.0	74.49919337120164	94251532.0
SRR8668771	36.18980969009314	4801263952.0	63.81019030990686	64436537.0	35-75	52.0	74.51151436024564	64436537.0
SRR8668772	37.62565912735664	5077217147.0	62.37434087264336	68179906.0	35-75	50.0	74.46793996753237	68179906.0
SRR8668773	37.76881225135168	5210978404.0	62.23118774864832	69980123.0	35-75	50.0	74.46369312611812	69980123.0
SRR8668774	40.55445908767855	9850668717.0	59.44554091232145	133387934.0	35-75	49.0	73.84977352599223	133387934.0
