Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
SRR8668755	65.89399718245215	50.0	74.47977032774406	89921353.0
SRR8668755_1M_subsample	34.98187394271703	50.0	74.479287	1000000.0
SRR8668756	59.05638296198224	48.0	74.27136176491946	84483855.0
SRR8668757	56.27171289620192	47.0	74.47828267220119	95110159.0
SRR8668758	48.73720826058155	49.0	72.73567113313266	30161579.0
SRR8668759	50.82794296566836	57.0	72.67510869111962	5323802.0
SRR8668769	71.71708122692716	53.0	74.49919337120164	94251532.0
SRR8668771	63.81019030990686	52.0	74.51151436024564	64436537.0
SRR8668772	62.37434087264336	50.0	74.46793996753237	68179906.0
SRR8668773	62.23118774864832	50.0	74.46369312611812	69980123.0
SRR8668774	59.44554091232145	49.0	73.84977352599223	133387934.0
